;automoveis;comerciais leves
2000;15531100;2461564
2001;16207108;2545542
2002;16880806;2603833
2003;17464856;2613997
2004;18140132;2649975
2005;18925909;2692052
2006;19892106;2743982
2007;21296739;2843088
2008;22917127;3007434
2009;24814730;3200720
2010;26887679;3498652
2011;28945920;3850844
2012;31122609;4193868
2013;33091814;4544065
2014;34676220;4878952
2015;35471465;5019747
2016;35757762;5090827
2017;36190079;5171398
2018;36883423;5301789
2019;37720122;5457903
2020;37862198;5534070
2021;37910819;5672459
