"Year";"RegistrationGasoline";"RegistrationEthanol";"RegistrationFlex";"RegistrationDiesel";"RegistrationHybrid";"RegistrationBEV";"Registration";"FleetGasoline";"FleetEthanol";"FleetFlex";"FleetDiesel";"FleetHybrid";"FleetBEV";"ModeledFleet";"AnfaveaFleet"
"1957";"11010";"0";"0";"0";"0";"0";"11010";"10983,7149859447";"0,00000000000";"0,0000000000";"0,000000000000";"0,00000000000000e+00";"0,00000000000000";"10983,7149859447";NA
"1958";"30209";"0";"0";"0";"0";"0";"30209";"41089,9404092919";"0,00000000000";"0,0000000000";"0,000000000000";"0,00000000000000e+00";"0,00000000000000";"41089,9404092919";NA
"1959";"55893";"0";"0";"466";"0";"0";"56359";"96710,6120222406";"0,00000000000";"0,0000000000";"464,887482602199";"0,00000000000000e+00";"0,00000000000000";"97175,4995048428";NA
"1960";"89187";"0";"0";"310";"0";"0";"89497";"185289,3952770745";"0,00000000000";"0,0000000000";"772,849946815900";"0,00000000000000e+00";"0,00000000000000";"186062,2452238904";NA
"1961";"115454";"0";"0";"4";"0";"0";"115458";"299561,5303777696";"0,00000000000";"0,0000000000";"773,658626770408";"0,00000000000000e+00";"0,00000000000000";"300335,1890045400";NA
"1962";"150071";"0";"0";"538";"0";"0";"150609";"447496,8879185432";"0,00000000000";"0,0000000000";"1305,038229405634";"0,00000000000000e+00";"0,00000000000000";"448801,9261479488";NA
"1963";"148314";"0";"0";"1489";"0";"0";"149803";"592288,2212393313";"0,00000000000";"0,0000000000";"2780,751913994205";"0,00000000000000e+00";"0,00000000000000";"595068,9731533255";NA
"1964";"154885";"0";"0";"2222";"0";"0";"157107";"741656,4262372385";"0,00000000000";"0,0000000000";"4978,796691313195";"0,00000000000000e+00";"0,00000000000000";"746635,2229285516";NA
"1965";"161668";"0";"0";"979";"0";"0";"162647";"895102,3774522938";"0,00000000000";"0,0000000000";"5921,538864075926";"0,00000000000000e+00";"0,00000000000000";"901023,9163163697";NA
"1966";"186538";"0";"0";"859";"0";"0";"187397";"1069873,5568628733";"0,00000000000";"0,0000000000";"6725,662323675914";"0,00000000000000e+00";"0,00000000000000";"1076599,2191865491";NA
"1967";"193867";"0";"0";"648";"0";"0";"194515";"1247575,1616754129";"0,00000000000";"0,0000000000";"7294,565017604171";"0,00000000000000e+00";"0,00000000000000";"1254869,7266930172";NA
"1968";"230234";"0";"0";"921";"0";"0";"231155";"1456281,4867472826";"0,00000000000";"0,0000000000";"8105,431827214117";"0,00000000000000e+00";"0,00000000000000";"1464386,9185744966";NA
"1969";"303519";"0";"0";"914";"0";"0";"304433";"1731860,9730513876";"0,00000000000";"0,0000000000";"8872,655699568575";"0,00000000000000e+00";"0,00000000000000";"1740733,6287509562";NA
"1970";"373825";"0";"0";"589";"0";"0";"374414";"2070261,2072250824";"0,00000000000";"0,0000000000";"9273,881953274718";"0,00000000000000e+00";"0,00000000000000";"2079535,0891783573";NA
"1971";"467140";"0";"0";"504";"0";"0";"467644";"2493266,6243280913";"0,00000000000";"0,0000000000";"9545,449880417140";"0,00000000000000e+00";"0,00000000000000";"2502812,0742085082";NA
"1972";"546267";"0";"0";"589";"0";"0";"546856";"2985355,2997547234";"0,00000000000";"0,0000000000";"9855,244871351779";"0,00000000000000e+00";"0,00000000000000";"2995210,5446260753";NA
"1973";"663437";"0";"0";"573";"0";"0";"664010";"3582921,4138537319";"0,00000000000";"0,0000000000";"10102,193575615409";"0,00000000000000e+00";"0,00000000000000";"3593023,6074293475";NA
"1974";"755948";"0";"0";"545";"0";"0";"756493";"4259440,2495590467";"0,00000000000";"0,0000000000";"10275,775330798628";"0,00000000000000e+00";"0,00000000000000";"4269716,0248898454";NA
"1975";"778920";"0";"0";"726";"0";"0";"779646";"4943302,9285653941";"0,00000000000";"0,0000000000";"10587,372714339916";"0,00000000000000e+00";"0,00000000000000";"4953890,3012797339";NA
"1976";"808729";"0";"0";"1449";"0";"0";"810178";"5638911,3410624620";"0,00000000000";"0,0000000000";"11581,102364740020";"0,00000000000000e+00";"0,00000000000000";"5650492,4434272023";NA
"1977";"748071";"0";"0";"2614";"0";"0";"750685";"6253348,7124259351";"0,00000000000";"0,0000000000";"13700,127947430181";"0,00000000000000e+00";"0,00000000000000";"6267048,8403733652";NA
"1978";"877295";"0";"0";"4315";"0";"0";"881610";"6973476,9844106082";"0,00000000000";"0,0000000000";"17478,764335660235";"0,00000000000000e+00";"0,00000000000000";"6990955,7487462685";NA
"1979";"905706";"3114";"0";"15870";"0";"0";"924690";"7695783,4211775493";"3106,56570992113";"0,0000000000";"32742,224928368902";"0,00000000000000e+00";"0,00000000000000";"7731632,2118158396";NA
"1980";"626467";"240643";"0";"19686";"0";"0";"886796";"8110636,8993818127";"243166,39021491446";"0,0000000000";"51731,402291694903";"0,00000000000000e+00";"0,00000000000000";"8405534,6918884218";NA
"1981";"344467";"136242";"0";"34899";"0";"0";"515608";"8213609,4912150465";"378397,63066653919";"0,0000000000";"85769,888909407397";"0,00000000000000e+00";"0,00000000000000";"8677777,0107909925";NA
"1982";"365434";"232575";"0";"43983";"0";"0";"641992";"8306220,6913213488";"608815,42332436563";"0,0000000000";"128642,461200425008";"0,00000000000000e+00";"0,00000000000000";"9043678,5758461393";NA
"1983";"78618";"579328";"0";"28638";"0";"0";"686584";"8081151,1864557061";"1183443,60643401369";"0,0000000000";"155843,688065861876";"0,00000000000000e+00";"0,00000000000000";"9420438,4809555821";NA
"1984";"33482";"565536";"0";"29183";"0";"0";"628201";"7781054,4923957875";"1740757,72882801178";"0,0000000000";"183109,490669231047";"0,00000000000000e+00";"0,00000000000000";"9704921,7118930295";NA
"1985";"28655";"645551";"0";"26169";"0";"0";"700375";"7448642,7481525894";"2372552,31191700744";"0,0000000000";"206729,060779413587";"0,00000000000000e+00";"0,00000000000000";"10027924,1208490096";NA
"1986";"61917";"697049";"0";"27421";"0";"0";"786387";"7125563,2073089192";"3047885,28635874297";"0,0000000000";"230795,809662885760";"0,00000000000000e+00";"0,00000000000000";"10404244,3033305481";NA
"1987";"31190";"458683";"0";"23759";"0";"0";"513632";"6752557,7562945774";"3474598,09947765432";"0,0000000000";"250240,794753115333";"0,00000000000000e+00";"0,00000000000000";"10477396,6505253464";NA
"1988";"77312";"566482";"0";"36042";"0";"0";"679836";"6411729,0287872208";"3995388,20931303641";"0,0000000000";"280831,291471901524";"0,00000000000000e+00";"0,00000000000000";"10687948,5295721591";NA
"1989";"260821";"399529";"0";"43612";"0";"0";"703962";"6245812,2643688265";"4332846,06047212612";"0,0000000000";"317714,761052699527";"0,00000000000000e+00";"0,00000000000000";"10896373,0858936515";NA
"1990";"542855";"81996";"0";"36486";"0";"0";"661337";"6358351,7275514035";"4334157,78995418362";"0,0000000000";"346101,163076272991";"0,00000000000000e+00";"0,00000000000000";"11038610,6805818602";NA
"1991";"546258";"150982";"0";"35204";"0";"0";"732444";"6475656,5461867871";"4383411,04640923906";"0,0000000000";"371742,570761009178";"0,00000000000000e+00";"0,00000000000000";"11230810,1633570362";NA
"1992";"498927";"195503";"0";"30221";"0";"0";"724651";"6550805,8406519601";"4454926,28187061567";"0,0000000000";"390886,654635840270";"0,00000000000000e+00";"0,00000000000000";"11396618,7771584168";NA
"1993";"764598";"264235";"0";"52553";"0";"0";"1081386";"6898687,3140209522";"4572525,50458556879";"0,0000000000";"430758,735453723755";"0,00000000000000e+00";"0,00000000000000";"11901971,5540602449";NA
"1994";"1127485";"141834";"0";"61140";"0";"0";"1330459";"7616876,4417764926";"4546027,00576532539";"0,0000000000";"477579,055584686575";"0,00000000000000e+00";"0,00000000000000";"12640482,5031265039";NA
"1995";"1557674";"40706";"0";"53898";"0";"0";"1652278";"8771089,2215047497";"4398388,81985233817";"0,0000000000";"515503,380949692684";"0,00000000000000e+00";"0,00000000000000";"13684981,4223067798";NA
"1996";"1621968";"7647";"0";"43521";"0";"0";"1673136";"9992661,3576345760";"4200077,83374141157";"0,0000000000";"541378,972745570238";"0,00000000000000e+00";"0,00000000000000";"14734118,1641215570";NA
"1997";"1801688";"1120";"0";"70857";"0";"0";"1873665";"11391840,8112935014";"3980661,54116595630";"0,0000000000";"592819,741158413934";"0,00000000000000e+00";"0,00000000000000";"15965322,0936178714";NA
"1998";"1388734";"1224";"0";"76465";"0";"0";"1466423";"12370557,6823030785";"3750233,67117964989";"0,0000000000";"648055,925087073585";"0,00000000000000e+00";"0,00000000000000";"16768847,2785698026";NA
"1999";"1122229";"10947";"0";"62433";"0";"0";"1195609";"13068212,5436394215";"3522071,58544472326";"0,0000000000";"687411,687787398929";"0,00000000000000e+00";"0,00000000000000";"17277695,8168715425";NA
"2000";"1310479";"10292";"0";"82873";"0";"0";"1403644";"13931414,1671652868";"3289501,21321930923";"0,0000000000";"745225,446535746800";"0,00000000000000e+00";"0,00000000000000";"17966140,8269203417";"17992664"
